resume_id,firstname,sex,race,call
1,Allison,female,white,0
2,Kristen,female,white,0
3,Lakisha,female,black,0
4,Latonya,female,black,0
5,Carrie,female,white,0
6,Jay,male,white,0
7,Jill,female,white,0
8,Kenya,female,black,0
9,Latonya,female,black,0
10,Tyrone,male,black,0
11,Aisha,female,black,0
12,Allison,female,white,0
13,Aisha,female,black,0
14,Carrie,female,white,0
15,Aisha,female,black,0
16,Geoffrey,male,white,0
17,Matthew,male,white,0
18,Tamika,female,black,0
19,Jill,female,white,0
20,Latonya,female,black,0
21,Leroy,male,black,0
22,Todd,male,white,0
23,Allison,female,white,0
24,Carrie,female,white,0
25,Greg,male,white,0
26,Keisha,female,black,0
27,Keisha,female,black,0
28,Kristen,female,white,0
29,Lakisha,female,black,0
30,Tamika,female,black,0
31,Allison,female,white,0
32,Keisha,female,black,0
33,Kristen,female,white,0
34,Latonya,female,black,0
35,Brad,male,white,0
36,Jill,female,white,0
37,Keisha,female,black,0
38,Keisha,female,black,0
39,Lakisha,female,black,0
40,Laurie,female,white,0
41,Meredith,female,white,0
42,Tyrone,male,black,0
43,Anne,female,white,0
44,Emily,female,white,0
45,Latoya,female,black,0
46,Tamika,female,black,0
47,Brad,male,white,0
48,Latoya,female,black,0
49,Kristen,female,white,0
50,Latonya,female,black,0
51,Latoya,female,black,0
52,Laurie,female,white,0
53,Allison,female,white,0
54,Ebony,female,black,0
55,Jay,male,white,0
56,Keisha,female,black,0
57,Laurie,female,white,0
58,Tyrone,male,black,0
59,Anne,female,white,0
60,Lakisha,female,black,0
61,Latonya,female,black,0
62,Meredith,female,white,0
63,Allison,female,white,0
64,Carrie,female,white,0
65,Ebony,female,black,0
66,Kenya,female,black,0
67,Lakisha,female,black,0
68,Laurie,female,white,0
69,Aisha,female,black,0
70,Anne,female,white,0
71,Brendan,male,white,0
72,Hakim,male,black,0
73,Latoya,female,black,0
74,Laurie,female,white,0
75,Laurie,female,white,0
76,Leroy,male,black,0
77,Anne,female,white,0
78,Kenya,female,black,0
79,Latonya,female,black,0
80,Meredith,female,white,0
81,Jamal,male,black,0
82,Matthew,male,white,0
83,Neil,male,white,0
84,Tyrone,male,black,0
85,Leroy,male,black,0
86,Todd,male,white,1
87,Brad,male,white,0
88,Ebony,female,black,0
89,Jill,female,white,0
90,Kristen,female,white,0
91,Lakisha,female,black,0
92,Matthew,male,white,0
93,Tamika,female,black,0
94,Tremayne,male,black,0
95,Aisha,female,black,0
96,Brett,male,white,1
