"precinct","elecyear","propturbine","perc_lib"
"10.002.10.1.",2011,0,0.30078125
"10.018.10.9.",2011,0,0.271028037
"10.021.10.32.",2011,0,0.206896552
"10.026.10.13.",2011,0,0.24291498
"10.028.10.16.",2011,0,0.168224299
"10.035s.10.702.",2011,0,0.2
"10.038.10.31.",2011,0,0.14
"10.039.10.34.",2011,0,0.258426966
"10.047.10.26.",2011,0,0.139784946
"10.055.10.24.",2011,0,0.263681592
"10.067.10.95.",2011,0,0.402597403
"10.068.10.97.",2011,0,0.235294118
"10.079.10.112.",2011,0,0.284768212
"10.103.10.52.",2011,0,0.331658291
"10.152.10.96.",2011,0,0.333333333
"10.181.10.150.",2011,0,0.180124224
"10.185.10.146.",2011,0,0.166666667
"10.206.10.148.",2011,0,0.3
"10.223.10.167.",2011,1,0.228813559
"10.227.10.203.",2011,1,0.227848101
"10.228.10.162.",2011,0,0.245901639
"10.229.10.165.",2011,0,0.275229358
"10.235.10.195.",2011,0,0.368
"10.245.10.218.",2011,0,0.125
"10.248.10.221.",2011,0,0.238993711
"10.267.10.211.",2011,0,0.256684492
"10.271.10.207.",2011,0,0.323943662
"10.275.10.223.",2011,0,0.224719101
"105.004.105.5.",2011,0,0.283261803
"105.022.105.16.",2011,0,0.208588957
"105.088.105.64.",2011,0,0.336065574
"105.099.105.54.",2011,0,0.228813559
"105.116.105.111.",2011,0,0.224637681
"105.120.105.200.",2011,0,0.243589744
"105.127.105.199.",2011,0,0.247126437
"105.136.105.197.",2011,0,0.383647799
"105.196.105.133.",2011,0,0.299270073
"105.201.105.131.",2011,0,0.279187817
"105.213.105.207.",2011,0,0.212389381
"105.232.105.145.",2011,0,0.205555556
"105.236.105.226.",2011,0,0.230769231
"105.252.105.222.",2011,0,0.196428571
"14.141.14.208.",2011,1,0.234042553
"14.148.14.73.",2011,0,0.299019608
"14.163.14.193.",2011,1,0.264069264
"14.164.14.77.",2011,1,0.330935252
"14.191.14.1.",2011,1,0.192771084
"14.193.14.2.",2011,0,0.205882353
"14.194.14.1.",2011,1,0.192771084
"14.204s.14.700.",2011,0,0.333333333
"14.205.14.67.",2011,0,0.273255814
"14.215.14.7.",2011,0,0.170212766
"14.263.14.49.",2011,0,0.28742515
"18.028.18.31.",2011,0,0.233333333
"18.063.18.140.",2011,0,0.245810056
"18.114.18.96.",2011,0,0.162162162
"18.134.18.20.",2011,0,0.13836478
"18.180.18.43.",2011,0,0.166666667
"18.183.18.98.",2011,0,0.126829268
"18.192.18.108.",2011,0,0.25
"18.196.18.152.",2011,0,0.393700787
"19.005.19.3.",2011,0,0.214611872
"19.011.19.65.",2011,0,0.293478261
"19.019.19.66.",2011,0,0.243523316
"19.070.19.71.",2011,0,0.312820513
"19.075.19.57.",2011,0,0.364640884
"19.082.19.31.",2011,0,0.310344828
"19.084.19.77.",2011,0,0.196808511
"19.098.19.195.",2011,0,0.218954248
"19.099.19.193.",2011,0,0.242038217
"19.124.19.177.",2011,0,0.193103448
"19.125s.19.711.",2011,0,0.384615385
"2.033s.2.700.",2011,0,0.2
"2.036.2.20.",2011,0,0.116883117
"2.048.2.30.",2011,0,0.045454545
"2.065.2.39.",2011,0,0.19205298
"2.073.2.56.",2011,0,0.306122449
"2.075.2.46.",2011,0,0.288557214
"2.083.2.82.",2011,0,0.350993377
"2.106.2.110.",2011,0,0.268115942
"2.110.2.52.",2011,0,0.380952381
"2.112.2.58.",2011,0,0.350194553
"2.131.2.116.",2011,0,0.345238095
"2.145.2.112.",2011,0,0.308641975
"2.149.2.60.",2011,0,0.441441441
"2.152.2.63.",2011,0,0.125
"2.163.2.72.",2011,0,0.335877863
"2.166.2.75.",2011,0,0.161904762
"2.175.2.103.",2011,0,0.287356322
"2.176.2.105.",2011,0,0.256578947
"2.177.2.107.",2011,0,0.392857143
"2.179.2.121.",2011,0,0.336956522
"2.198.2.135.",2011,0,0.193548387
"2.207.2.137.",2011,0,0.267080745
"21.003.21.4.",2011,0,0.293877551
"21.008.21.7.",2011,0,0.261744966
"21.021.21.20.",2011,0,0.234741784
"21.036.21.25.",2011,0,0.408653846
"21.049.21.41.",2011,0,0.189054726
"21.055.21.53.",2011,0,0.195
"21.077.21.88.",2011,0,0.190140845
"21.169.21.112.",2011,0,0.20661157
"21.170.21.125.",2011,0,0.185714286
"21.196.21.118.",2011,0,0.136094675
"21.201.21.92.",2011,0,0.243654822
"21.203.21.128.",2011,0,0.176100629
"21.211.21.95.",2011,0,0.211864407
"21.222.21.131.",2011,0,0.223809524
"22.001.22.6.",2011,0,0.391959799
"22.003.22.4.",2011,0,0.351351351
"22.013.22.30.",2011,0,0.237623762
"22.016.22.36.",2011,0,0.255102041
"22.025.22.65.",2011,0,0.177304965
"22.054.22.48.",2011,0,0.280701754
"22.055.22.61.",2011,1,0.289855072
"22.075.22.20.",2011,0,0.257309942
"22.077.22.82.",2011,0,0.157303371
"22.104.22.51.",2011,1,0.186666667
"22.107.22.58.",2011,1,0.4
"22.125.22.57.",2011,1,0.15942029
"22.129.22.122.",2011,0,0.335526316
"22.168.22.199.",2011,0,0.195833333
"22.175.22.131.",2011,0,0.4
"22.213.22.207.",2011,0,0.248484848
"22.262.22.161.",2011,0,0.132075472
"28.013.28.171.",2011,0,0.217647059
"28.028.28.143.",2011,0,0.184782609
"28.034.28.95.",2011,0,0.161490683
"28.045.28.52.",2011,0,0.132743363
"28.049.28.126.",2011,0,0.085106383
"28.058.28.177.",2011,0,0.180451128
"28.066.28.50.",2011,0,0.183673469
"28.068.28.97.",2011,0,0.189873418
"28.075.28.103.",2011,0,0.168224299
"28.098.28.205.",2011,0,0.089655172
"28.103.28.92.",2011,0,0.162337662
"28.104.28.104.",2011,0,0.193548387
"28.115.28.182.",2011,1,0.146226415
"28.116.28.184.",2011,1,0.104294479
"28.119.28.208.",2011,1,0.067901235
"28.120.28.211.",2011,1,0.138461538
"28.122.28.26.",2011,0,0.195652174
"28.125.28.29.",2011,0,0.159292035
"28.134.28.91.",2011,0,0.174825175
"28.138.28.135.",2011,1,0.109756098
"28.140.28.147.",2011,1,0.111111111
"28.155.28.37.",2011,0,0.137614679
"28.173.28.60.",2011,0,0.262411348
"28.192.28.85.",2011,0,0.287671233
"28.197.28.134.",2011,1,0.113636364
"28.199.28.3.",2011,0,0.198198198
"28.206.28.107.",2011,0,0.233502538
"28.219.28.121.",2011,1,0.153333333
"28.227.28.115.",2011,0,0.140186916
"28.229.28.8.",2011,0,0.219512195
"28.245.28.16.",2011,0,0.218253968
"29.001.29.1.",2011,0,0.161764706
"29.007.29.3.",2011,0,0.45971564
"29.010.29.27.",2011,0,0.354497354
"29.024.29.10.",2011,0,0.347222222
"29.027.29.19.",2011,0,0.302469136
"29.030.29.8.",2011,0,0.3
"29.036.29.62.",2011,0,0.289256198
"29.037.29.16.",2011,0,0.398773006
"29.041.29.51.",2011,0,0.290909091
"29.054.29.39.",2011,0,0.352941176
"29.063.29.40.",2011,0,0.27510917
"29.066.29.110.",2011,0,0.334862385
"29.069.29.114.",2011,0,0.410646388
"29.086.29.123.",2011,0,0.473170732
"29.091.29.69.",2011,0,0.246231156
"29.097.29.129.",2011,0,0.331288344
"29.099.29.136.",2011,0,0.316363636
"29.103.29.75.",2011,0,0.387096774
"29.106.29.73.",2011,0,0.373271889
"29.112.29.107.",2011,0,0.269461078
"29.114.29.131.",2011,0,0.329896907
"29.117.29.134.",2011,0,0.393617021
"29.120.29.155.",2011,0,0.402097902
"29.185.29.83.",2011,0,0.185185185
"29.187.29.81.",2011,0,0.331950207
"29.190.29.78.",2011,0,0.323529412
"29.191.29.84.",2011,0,0.294573643
"29.203.29.154.",2011,0,0.470588235
"29.209.29.86.",2011,0,0.296943231
"29.242.29.174.",2011,0,0.210300429
"29.246.29.231.",2011,0,0.301020408
"34.005.34.1.",2011,0,0.453608247
"34.008.34.7.",2011,0,0.37408313
"34.012.34.8.",2011,0,0.255319149
"34.015.34.9.",2011,0,0.331797235
"34.035.34.23.",2011,0,0.293877551
"34.036.34.25.",2011,1,0.276836158
"34.044.34.71.",2011,0,0.202702703
"34.045.34.31.",2011,1,0.196721311
"34.048.34.47.",2011,0,0.493333333
"34.068.34.51.",2011,0,0.34375
"34.086.34.76.",2011,0,0.33125
"34.088.34.55.",2011,0,0.322580645
"34.094.34.74.",2011,0,0.223577236
"34.098.34.59.",2011,0,0.316455696
"34.100.34.64.",2011,0,0.330033003
"34.103.34.56.",2011,1,0.265895954
"34.109.34.66.",2011,0,0.205673759
"34.114.34.70.",2011,0,0.143478261
"34.129.34.107.",2011,0,0.328947368
"34.168.34.120.",2011,0,0.264925373
"34.172.34.115.",2011,0,0.414634146
"34.225.34.141.",2011,0,0.346774194
"34.231.34.136.",2011,0,0.334645669
"34.235.34.178.",2011,0,0.304
"34.241.34.182.",2011,1,0.315642458
"34.243.34.183.",2011,0,0.29468599
"34.266.34.188.",2011,0,0.277173913
"36.003.36.209.",2011,0,0.439393939
"36.006.36.5.",2011,0,0.457446809
"36.007.36.212.",2011,0,0.454022989
"36.011.36.8.",2011,0,0.397590361
"36.012.36.9.",2011,0,0.42
"36.017.36.10.",2011,0,0.395939086
"36.027.36.189.",2011,0,0.443478261
"36.035.36.18.",2011,0,0.580246914
"36.039.36.21.",2011,0,0.426829268
"36.165.36.56.",2011,0,0.484848485
"36.246.36.202.",2011,0,0.4
"36.269.36.178.",2011,0,0.649425287
"36.278.36.153.",2011,0,0.581081081
"36.283.36.215.",2011,1,0.533653846
"36.404.36.426.",2011,0,0.493150685
"36.413.36.418.",2011,0,0.415384615
"36.414.36.420.",2011,0,0.366197183
"40.009.40.62.",2011,0,0.281081081
"40.010.40.64.",2011,0,0.252808989
"40.019.40.65.",2011,1,0.278481013
"40.023.40.162.",2011,0,0.24516129
"40.028.40.69.",2011,0,0.226666667
"40.041.40.66.",2011,0,0.355263158
"40.058.40.76.",2011,0,0.375634518
"40.059.40.71.",2011,1,0.242063492
"40.062.40.183.",2011,0,0.313513514
"40.066.40.187.",2011,0,0.344086022
"40.068.40.78.",2011,1,0.281609195
"40.072.40.79.",2011,0,0.341836735
"40.073.40.81.",2011,1,0.393782383
"40.076.40.166.",2011,0,0.364485981
"40.080.40.127.",2011,0,0.435643564
"40.085.40.168.",2011,0,0.288135593
"40.089.40.82.",2011,0,0.333333333
"40.107.40.144.",2011,0,0.36875
"40.130s.40.715.",2011,0,0.358974359
"40.131.40.171.",2011,0,0.348958333
"40.153.40.148.",2011,0,0.292857143
"40.156.40.106.",2011,0,0.326241135
"40.160.40.87.",2011,0,0.258426966
"40.163.40.89.",2011,0,0.222222222
"40.172.40.115.",2011,0,0.25862069
"40.178.40.51.",2011,0,0.168604651
"40.187.40.39.",2011,0,0.242152466
"40.192.40.1.",2011,0,0.22
"40.224.40.21.",2011,0,0.298013245
"40.234.40.48.",2011,0,0.253333333
"40.244.40.46.",2011,1,0.231884058
"40.248.40.46.",2011,0,0.231884058
"40.249.40.23.",2011,1,0.258333333
"41.029.41.189.",2011,0,0.20441989
"41.031.41.121.",2011,0,0.076086957
"41.039.41.203.",2011,0,0.24789916
"41.050.41.124.",2011,0,0.308176101
"41.051.41.126.",2011,0,0.12962963
"41.053.41.131.",2011,0,0.140909091
"41.062.41.125.",2011,0,0.21978022
"41.063.41.134.",2011,0,0.234567901
"41.065.41.144.",2011,0,0.241573034
"41.067.41.143.",2011,0,0.161825726
"41.076.41.208.",2011,0,0.160714286
"41.090.41.136.",2011,0,0.1875
"41.111.41.156.",2011,0,0.312849162
"41.134.41.5.",2011,0,0.291262136
"41.140.41.17.",2011,0,0.458064516
"41.144.41.12.",2011,0,0.244565217
"41.157.41.100.",2011,0,0.338164251
"41.167.41.120.",2011,0,0.357466063
"41.168.41.21.",2011,0,0.264044944
"41.169.41.22.",2011,0,0.22173913
"41.171.41.94.",2011,0,0.306358382
"41.172.41.93.",2011,0,0.260504202
"41.179.41.113.",2011,0,0.322368421
"41.206.41.26.",2011,0,0.25748503
"41.209.41.63.",2011,0,0.241134752
"41.212.41.67.",2011,0,0.331797235
"41.214.41.36.",2011,0,0.306451613
"41.234.41.54.",2011,0,0.285714286
"41.238.41.72.",2011,0,0.311688312
"41.243.41.74.",2011,0,0.38317757
