"statusquo","vote","voteYES"
3.0246,"Y",1
-3.88851,"N",0
3.69216,"Y",1
-3.09489,"N",0
-3.31488,"N",0
-3.14055,"N",0
-2.35878,"N",0
-3.34044,"N",0
-3.88851,"N",0
4.09698,"Y",1
4.52052,"Y",1
-2.56737,"N",0
3.96837,"Y",1
4.15602,"Y",1
4.36806,"Y",1
4.64424,"Y",1
4.84413,"Y",1
4.57803,"Y",1
-2.67843,"N",0
4.52958,"Y",1
2.89575,"Y",1
3.50553,"N",0
-3.88851,"N",0
-1.05441,"Y",1
4.29609,"Y",1
0.33201,"Y",1
-3.4551,"N",0
4.21083,"Y",1
1.56498,"Y",1
2.39856,"Y",1
4.46682,"Y",1
1.49022,"Y",1
3.98085,"Y",1
4.64424,"Y",1
3.99504,"Y",1
3.10224,"Y",1
-3.12048,"N",0
-3.30264,"N",0
3.73947,"Y",1
4.78731,"Y",1
4.04997,"Y",1
3.99504,"Y",1
2.42535,"Y",1
3.13227,"Y",1
4.7631,"Y",1
1.58535,"N",0
4.35987,"Y",1
-1.57917,"N",0
-3.32118,"N",0
3.18426,"Y",1
-3.91053,"N",0
-3.88851,"N",0
-0.08895,"N",0
4.44852,"Y",1
-3.5763,"N",0
3.06978,"Y",1
-2.97669,"N",0
-3.32352,"Y",1
4.7631,"Y",1
-3.37404,"N",0
-3.43737,"N",0
3.06978,"Y",1
-3.55701,"N",0
3.16854,"Y",1
4.79829,"Y",1
-2.00256,"N",0
-2.93226,"Y",1
2.15694,"N",0
0.45642,"N",0
-3.88851,"N",0
-2.14923,"N",0
-3.91098,"N",0
-0.366,"Y",1
-3.52323,"N",0
-2.14959,"N",0
4.64424,"Y",1
-2.35002,"N",0
4.29609,"Y",1
-3.88851,"N",0
4.7631,"Y",1
3.76386,"Y",1
-1.26657,"N",0
-0.36231,"N",0
-0.82581,"N",0
4.19493,"Y",1
-3.88851,"N",0
4.37583,"Y",1
-3.88851,"N",0
-3.09504,"N",0
-3.88851,"N",0
2.0559,"Y",1
-3.6606,"N",0
-3.88851,"N",0
-3.03804,"N",0
-1.14147,"N",0
-2.65752,"N",0
-3.65922,"N",0
-1.20762,"N",0
4.21812,"Y",1
-2.9943,"N",0
4.44852,"Y",1
4.32312,"Y",1
4.7631,"Y",1
-1.09755,"N",0
3.83778,"Y",1
-3.30051,"N",0
4.32549,"Y",1
-3.88851,"N",0
-2.18676,"N",0
4.2486,"Y",1
1.25133,"N",0
4.34688,"Y",1
-3.77385,"N",0
4.52958,"Y",1
4.82349,"Y",1
4.55358,"Y",1
-1.55847,"N",0
4.64424,"Y",1
4.11387,"Y",1
4.7631,"Y",1
4.08936,"Y",1
4.78821,"Y",1
