"","int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latino_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
"1",1,1,0,0,5,1,0,0,0,0,"South",26,0
"2",0,0,0,0,4,1,0,0,0,0,"Midwest",38,1
"3",0,1,0,0,6,0,0,1,1,0,"Northeast",60,1
"4",1,1,0,0,5,1,0,0,0,0,"Northeast",56,1
"5",0,0,0,0,4,1,0,0,0,0,"South",45,0
"6",0,0,0,0,3,1,0,0,0,0,"South",30,1
"7",0,0,1,0,2,1,0,0,0,0,"South",86,1
"8",0,0,0,0,4,0,1,0,0,0,"Northeast",30,1
"9",0,0,1,1,2,1,0,0,0,0,"Midwest",62,1
"10",0,0,1,1,2,1,1,0,0,0,"South",46,0
"11",1,1,0,0,6,1,0,0,0,0,"West",70,0
"12",0,0,1,1,3,1,0,0,0,0,"Northeast",30,0
"13",1,0,0,0,5,1,0,1,0,0,"South",66,1
"14",1,1,0,0,3,1,0,0,0,0,"West",32,0
"15",0,1,0,0,6,1,0,1,1,0,"Midwest",65,1
"16",1,1,0,0,7,1,0,0,0,0,"South",61,1
"17",0,0,0,0,2,1,0,0,0,0,"South",68,1
"18",0,0,1,1,2,1,0,0,0,0,"Northeast",73,1
"19",0,0,0,0,4,1,0,0,0,0,"Midwest",67,1
"20",0,0,0,0,2,1,0,0,0,0,"West",35,0
"21",1,0,0,0,6,1,0,1,0,0,"Midwest",64,1
"22",1,1,0,0,6,1,0,0,0,0,"West",73,1
"23",1,1,0,0,7,1,0,0,0,0,"Midwest",69,1
"24",0,0,0,0,4,1,0,0,0,0,"Northeast",41,1
"25",0,0,1,1,2,1,0,0,0,0,"South",67,1
"26",1,1,0,0,4,1,0,0,0,0,"Midwest",54,1
"27",1,0,0,0,4,0,1,1,0,0,"Northeast",48,0
"28",0,0,1,1,2,0,0,0,0,0,"South",26,1
"29",1,1,0,0,5,1,0,0,0,0,"Midwest",25,1
"30",0,0,1,1,1,0,0,0,0,0,"South",46,1
"31",1,1,0,0,6,1,0,0,0,0,"Northeast",59,1
"32",1,1,0,0,4,1,0,0,0,0,"Midwest",39,0
"33",0,0,1,1,3,1,0,0,0,0,"Midwest",52,1
"34",0,0,0,0,6,0,1,0,0,0,"South",29,1
"35",1,1,0,0,4,1,0,0,0,0,"South",46,1
"36",0,0,1,0,2,1,0,0,0,0,"South",45,0
