midterm,final,overall,gradeA
79.25,47,69.2,0
96.25,87.75,94.3,1
58.25,37.75,62,0
54.5,62,72.4,0
83,39.75,72.4,0
41.75,49.5,59.5,0
92.5,65,83.4,0
56.75,60.75,71.5,0
59.75,43.5,63.3,0
77,100,92.9,1
80,70.5,81,0
86.75,91.25,93.1,1
94.25,82,90.7,1
86,89.5,87.8,0
83.75,77.75,87.5,0
82.5,62.5,74.6,0
76.25,43,65.7,0
96.25,80,91.4,1
81.75,60.5,79.6,0
64.75,74,79.2,0
86.75,49.5,74.3,0
78.75,57.5,73.9,0
100,96.25,98.1,1
96.25,90,93.7,1
89.5,89.5,93,1
86.5,77,87,0
78,77.5,82.7,0
88.5,54.5,77.9,0
56.5,48.25,66.4,0
87.25,77.5,84.9,0
77.5,81.75,83.8,0
88.75,81,83.4,0
63,70.25,76.2,0
100,100,101.4,1
96.25,96,94.5,1
92.5,88.25,91.9,1
96.25,79.5,88.5,0
100,99,99.5,1
100,99,98.3,1
91.5,96.25,97.3,1
92,100,97.3,1
95.25,93.25,96.4,1
96.25,96,96.2,1
96.25,88.75,95.8,1
95.25,93.25,95.7,1
87.5,99,94.7,1
88.75,87.75,93.5,1
91.25,90.5,93.3,1
95,89.5,92.6,1
84.75,92.5,92.6,1
88.75,81.25,91.6,1
89.25,92.5,91,1
92.5,92.25,90.7,1
92.5,87.75,90.4,1
89.5,79,88.7,0
89.25,78,87.4,0
82.5,79.5,87.1,0
85.75,79,86.7,0
90.5,68.5,84,0
71,72.75,81.9,0
71,61.5,80.3,0
64.25,60,79.6,0
57.5,70.75,79.5,0
54.25,66.75,78,0
87.5,46.75,77.1,0
66.75,59.75,76.7,0
75,58.25,75.1,0
68,53.5,74.9,0
80.5,51.5,81.6,0
70.25,60.25,74.4,0
67,38.5,71.1,0
66,29.25,66.8,0
57.25,23.5,63.5,0
58.25,47,62.9,0
64,51.25,59.2,0
42.75,39.25,55.9,0
