"statusquo","vote","voteYES"
1.0082,"Y",1
-1.29617,"N",0
1.23072,"Y",1
-1.03163,"N",0
-1.10496,"N",0
-1.04685,"N",0
-0.78626,"N",0
-1.11348,"N",0
-1.29617,"N",0
1.36566,"Y",1
1.50684,"Y",1
-0.85579,"N",0
1.32279,"Y",1
1.38534,"Y",1
1.45602,"Y",1
1.54808,"Y",1
1.61471,"Y",1
1.52601,"Y",1
-0.89281,"N",0
1.50986,"Y",1
0.96525,"Y",1
1.16851,"N",0
-1.29617,"N",0
-0.35147,"Y",1
1.43203,"Y",1
0.11067,"Y",1
-1.1517,"N",0
1.40361,"Y",1
0.52166,"Y",1
0.79952,"Y",1
1.48894,"Y",1
0.49674,"Y",1
1.32695,"Y",1
1.54808,"Y",1
1.33168,"Y",1
1.03408,"Y",1
-1.04016,"N",0
-1.10088,"N",0
1.24649,"Y",1
1.59577,"Y",1
1.34999,"Y",1
1.33168,"Y",1
0.80845,"Y",1
1.04409,"Y",1
1.5877,"Y",1
0.52845,"N",0
1.45329,"Y",1
-0.52639,"N",0
-1.10706,"N",0
1.06142,"Y",1
-1.30351,"N",0
-1.29617,"N",0
-0.02965,"N",0
1.48284,"Y",1
-1.1921,"N",0
1.02326,"Y",1
-0.99223,"N",0
-1.10784,"Y",1
1.5877,"Y",1
-1.12468,"N",0
-1.14579,"N",0
1.02326,"Y",1
-1.18567,"N",0
1.05618,"Y",1
1.59943,"Y",1
-0.66752,"N",0
-0.97742,"Y",1
0.71898,"N",0
0.15214,"N",0
-1.29617,"N",0
-0.71641,"N",0
-1.30366,"N",0
-0.122,"Y",1
-1.17441,"N",0
-0.71653,"N",0
1.54808,"Y",1
-0.78334,"N",0
1.43203,"Y",1
-1.29617,"N",0
1.5877,"Y",1
1.25462,"Y",1
-0.42219,"N",0
-0.12077,"N",0
-0.27527,"N",0
1.39831,"Y",1
-1.29617,"N",0
1.45861,"Y",1
-1.29617,"N",0
-1.03168,"N",0
-1.29617,"N",0
0.6853,"Y",1
-1.2202,"N",0
-1.29617,"N",0
-1.01268,"N",0
-0.38049,"N",0
-0.88584,"N",0
-1.21974,"N",0
-0.40254,"N",0
1.40604,"Y",1
-0.9981,"N",0
1.48284,"Y",1
1.44104,"Y",1
1.5877,"Y",1
-0.36585,"N",0
1.27926,"Y",1
-1.10017,"N",0
1.44183,"Y",1
-1.29617,"N",0
-0.72892,"N",0
1.4162,"Y",1
0.41711,"N",0
1.44896,"Y",1
-1.25795,"N",0
1.50986,"Y",1
1.60783,"Y",1
1.51786,"Y",1
-0.51949,"N",0
1.54808,"Y",1
1.37129,"Y",1
1.5877,"Y",1
1.36312,"Y",1
1.59607,"Y",1
-1.10367,"N",0
-0.71653,"N",0
-1.03937,"N",0
-1.14317,"N",0
0.54901,"Y",1
-0.6617,"N",0
1.4527,"Y",1
1.40361,"Y",1
-0.12713,"Y",1
0.9475,"Y",1
1.43653,"Y",1
0.32764,"Y",1
0.9948,"Y",1
0.98196,"Y",1
0.37411,"Y",1
1.33395,"Y",1
-0.59827,"N",0
0.43403,"Y",1
1.62138,"Y",1
1.5877,"Y",1
1.4156,"Y",1
-1.29617,"N",0
-0.38693,"N",0
