"region","population","sex","age","education","income","statusquo","vote","logpop","loginc"
"N",175000,"M",65,"P",35000,1.0082,"Y",12.0725412529057,10.4631033404715
"N",175000,"M",29,"PS",7500,-1.29617,"N",12.0725412529057,8.9226582995244
"N",175000,"F",38,"P",15000,1.23072,"Y",12.0725412529057,9.61580548008435
"N",175000,"F",49,"P",35000,-1.03163,"N",12.0725412529057,10.4631033404715
"N",175000,"F",23,"S",35000,-1.10496,"N",12.0725412529057,10.4631033404715
"N",175000,"F",28,"P",7500,-1.04685,"N",12.0725412529057,8.9226582995244
"N",175000,"M",26,"PS",35000,-0.78626,"N",12.0725412529057,10.4631033404715
"N",175000,"F",24,"S",15000,-1.11348,"N",12.0725412529057,9.61580548008435
"N",175000,"F",41,"P",15000,-1.01292,"U",12.0725412529057,9.61580548008435
"N",175000,"M",41,"P",15000,-1.29617,"N",12.0725412529057,9.61580548008435
"N",175000,"M",64,"P",15000,1.36566,"Y",12.0725412529057,9.61580548008435
"N",175000,"M",19,"S",35000,1.02791,"U",12.0725412529057,10.4631033404715
"N",175000,"F",27,"PS",NA,1.43448,"Y",12.0725412529057,NA
"N",175000,"F",46,"S",75000,1.50684,"Y",12.0725412529057,11.2252433925184
"N",175000,"M",36,"PS",35000,1.49026,NA,12.0725412529057,10.4631033404715
"N",175000,"M",22,"S",15000,-1.14189,"A",12.0725412529057,9.61580548008435
"N",175000,"F",20,"PS",15000,-0.85579,"N",12.0725412529057,9.61580548008435
"N",175000,"M",30,"S",35000,-0.90689,"U",12.0725412529057,10.4631033404715
"N",175000,"M",67,"P",75000,1.32279,"Y",12.0725412529057,11.2252433925184
"N",175000,"F",50,"S",2500,-1.05805,"U",12.0725412529057,7.82404601085629
"N",175000,"F",38,"S",35000,1.38534,"Y",12.0725412529057,10.4631033404715
"N",175000,"F",55,"PS",35000,1.45602,"Y",12.0725412529057,10.4631033404715
"N",175000,"M",18,"S",75000,1.54808,"Y",12.0725412529057,11.2252433925184
"N",175000,"F",24,"PS",35000,1.61471,"Y",12.0725412529057,10.4631033404715
"N",175000,"M",58,"P",35000,1.52601,"Y",12.0725412529057,10.4631033404715
"N",175000,"F",28,"S",35000,0.55328,"U",12.0725412529057,10.4631033404715
"N",175000,"F",34,"P",7500,1.33619,"A",12.0725412529057,8.9226582995244
"N",175000,"F",43,"P",NA,0.15489,"A",12.0725412529057,NA
"N",175000,"M",20,"PS",35000,-0.89281,"N",12.0725412529057,10.4631033404715
"N",175000,"M",53,"PS",35000,-1.29617,"A",12.0725412529057,10.4631033404715
