"int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latinx_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
1,1,0,0,0.521501851318627,1,0,0,0,0,"South",26,0
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",38,1
0,1,0,0,1.14625406917349,0,0,1,1,0,"Northeast",60,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"Northeast",56,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"South",45,0
0,0,0,0,-0.728002584391104,1,0,0,0,0,"South",30,1
0,0,1,0,-1.35275480224597,1,0,0,0,0,"South",86,1
0,0,0,0,-0.103250366536238,0,1,0,0,0,"Northeast",30,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Midwest",62,1
0,0,1,1,-1.35275480224597,1,1,0,0,0,"South",46,0
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",70,0
0,0,1,1,-0.728002584391104,1,0,0,0,0,"Northeast",30,0
1,0,0,0,0.521501851318627,1,0,1,0,0,"South",66,1
1,1,0,0,-0.728002584391104,1,0,0,0,0,"West",32,0
0,1,0,0,1.14625406917349,1,0,1,1,0,"Midwest",65,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",61,1
0,0,0,0,-1.35275480224597,1,0,0,0,0,"South",68,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"Northeast",73,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",67,1
0,0,0,0,-1.35275480224597,1,0,0,0,0,"West",35,0
1,0,0,0,1.14625406917349,1,0,1,0,0,"Midwest",64,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",73,1
1,1,0,0,1.77100628702836,1,0,0,0,0,"Midwest",69,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Northeast",41,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"South",67,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",54,1
1,0,0,0,-0.103250366536238,0,1,1,0,0,"Northeast",48,0
0,0,1,1,-1.35275480224597,0,0,0,0,0,"South",26,1
1,1,0,0,0.521501851318627,1,0,0,0,0,"Midwest",25,1
